,2021-easyprivacy,Website,rank,2014-easyprivacy,2015-easyprivacy,2016-easyprivacy,2017-easyprivacy,2018-easyprivacy,2019-easyprivacy,2020-easyprivacy
43,18,ria.ru,379,22,27,28,19,26,26,18
28,2,iyiou.com,381,3,2,13,7,7,31,2
175,2,google.cn,382,2,2,2,2,2,2,2
327,15,thesaurus.com,384,20,18,29,21,18,14,12
146,20,ensonhaber.com,385,12,13,13,16,16,17,13
298,7,sciencedirect.com,390,13,13,6,5,7,3,3
150,12,fardanews.com,391,9,9,19,19,10,12,12
332,21,tokopedia.com,394,7,12,11,28,27,29,30
246,27,marca.com,395,0,0,15,19,20,14,8
19,11,divar.ir,396,6,4,7,7,7,7,7
248,23,mathrubhumi.com,397,26,14,0,11,15,38,18
221,5,iqiyi.com,400,5,6,7,7,9,5,6
135,6,deviantart.com,402,10,10,19,25,19,24,8
192,2,google.com.ua,405,2,2,2,2,2,2,2
333,6,trustpilot.com,407,4,6,8,10,10,7,10
27,23,hootsuite.com,410,14,12,22,20,23,29,26
344,38,verizon.com,412,14,14,4,9,18,17,3
370,4,zara.com,413,4,4,4,3,7,4,4
314,32,squarespace.com,414,4,16,13,25,25,31,35
350,7,w3school.com.cn,418,2,2,2,2,2,7,7
3,2,ameblo.jp,424,7,5,9,7,5,5,5
169,2,google.co.kr,425,2,2,2,2,2,2,2
138,7,dmm.co.jp,427,5,12,12,13,10,10,8
228,9,japanpost.jp,428,2,4,5,4,8,12,9
277,6,pcbaby.com.cn,429,10,6,23,11,7,6,7
295,25,rottentomatoes.com,431,18,31,20,22,26,35,24
158,15,fidelity.com,432,2,2,2,2,2,3,11
167,4,gismeteo.ru,435,24,18,5,9,8,0,0
140,13,douban.com,440,3,11,10,13,14,13,13
250,4,meituan.com,441,4,4,7,23,2,2,4
255,6,mit.edu,442,6,6,6,6,6,8,8
271,10,ouedkniss.com,444,2,8,13,21,23,19,23
155,0,flickr.com,446,8,2,4,7,5,11,12
244,18,lyst.com,447,13,14,14,17,20,24,13
278,24,outbrain.com,449,20,27,25,36,36,17,4
126,29,coursehero.com,452,58,21,19,16,27,40,38
304,6,shippingchina.com,454,7,7,7,7,7,6,6
288,8,rambler.ru,455,12,0,0,27,10,38,9
56,14,teachable.com,456,2,8,9,6,4,4,15
311,0,softonic.com,457,17,13,22,12,15,20,0
81,3,amazon.com.au,462,2,2,3,4,7,6,12
9,2,codepen.io,467,0,26,18,5,4,2,7
163,4,freelancer.com,468,21,42,25,27,16,12,17
258,20,naukri.com,471,7,9,10,10,14,13,12
212,0,ih5.cn,472,4,4,2,2,2,0,0
26,6,go.com,478,8,5,8,5,7,9,9
70,12,academia.edu,480,11,13,10,8,14,15,12
130,3,cvs.com,484,36,30,28,17,25,3,3
280,7,people.com.cn,485,0,0,15,0,10,10,10
199,5,gsmarena.com,486,5,5,10,11,14,10,10
245,14,matchesfashion.com,487,5,6,4,26,18,20,13
127,9,coinbase.com,490,6,8,4,4,4,12,7
343,45,usnews.com,491,24,10,14,21,26,8,40
104,4,bhphotovideo.com,493,11,8,16,2,2,5,5
242,2,livescore.com,495,21,26,15,2,5,11,6
236,2,lazada.co.th,496,29,29,38,28,6,2,2
267,13,oschina.net,497,2,2,4,11,13,6,12
366,7,youporn.com,498,17,12,12,15,13,13,17
190,2,google.ro,501,2,2,2,2,2,2,2
188,2,google.gr,502,2,2,2,2,2,2,2
40,6,razorpay.com,503,2,2,7,14,16,11,3
291,20,redbubble.com,504,10,9,12,17,13,25,18
78,2,addthis.com,507,8,6,7,10,11,2,2
64,4,258.com,508,2,4,2,7,4,11,3
42,7,shareasale.com,509,2,2,2,2,2,6,7
37,67,nypost.com,510,18,29,25,55,34,53,37
121,9,cnbeta.com,511,0,29,27,19,27,38,37
260,8,namecheap.com,512,10,7,15,20,10,11,11
357,38,webmd.com,513,28,17,17,29,41,34,30
363,13,yeniakit.com.tr,514,2,13,16,10,24,30,12
241,32,liputan6.com,517,13,16,18,17,23,30,46
4,19,allegro.pl,518,8,23,22,17,16,13,15
359,13,worldometers.info,519,38,32,29,32,33,22,30
297,9,renren.com,520,5,3,3,3,5,5,5
88,5,android.com,522,11,12,13,23,13,13,5
108,16,bukalapak.com,523,13,19,25,15,26,35,33
168,21,globalsources.com,524,8,7,12,11,19,16,19
252,31,moneycontrol.com,526,11,14,15,12,11,21,19
239,30,livejournal.com,527,5,12,25,20,20,18,37
23,7,getadblock.com,528,21,18,14,15,12,9,6
361,2,xabbs.com,530,12,16,16,4,4,5,2
231,22,kooora.com,532,15,12,20,19,15,27,36
369,11,zhibo8.cc,534,28,31,31,65,41,34,37
22,22,genius.com,535,14,23,17,21,28,27,21
134,19,delta.com,536,10,9,8,11,14,4,4
174,2,google.az,537,2,2,2,2,2,2,2
347,14,usatoday.com,539,5,12,12,17,9,7,52
57,2,stripchat.com,540,2,2,2,4,4,4,2
47,12,sourceforge.net,542,22,8,5,10,17,13,13
254,4,messenger.com,545,2,2,6,6,2,4,3
80,24,amazon.com.br,549,2,2,9,6,6,5,4
338,9,ubereats.com,550,10,11,19,25,21,6,2
17,2,disqus.com,553,2,2,2,2,2,2,2
305,8,shopbop.com,554,10,11,8,4,4,4,4
356,19,walgreens.com,555,11,16,12,16,14,16,17
345,29,upwork.com,556,2,9,18,48,66,46,26
18,14,elpais.com,557,6,4,5,19,25,28,24
337,9,ultimate-guitar.com,559,13,13,10,28,8,4,4
262,22,news18.com,560,5,4,5,0,19,16,40
272,11,npr.org,561,5,7,15,13,21,19,16
36,15,nextdoor.com,562,6,7,9,19,12,7,8
114,7,cambridge.org,564,15,15,12,11,13,14,5
219,25,irs.gov,566,13,20,15,22,24,22,22
191,2,google.com.vn,569,2,2,2,2,2,2,2
75,50,adp.com,570,11,14,36,31,26,38,42
203,23,hostgator.com,575,9,21,34,32,25,32,29
144,15,ebay.com.au,576,13,7,11,4,18,21,14
342,0,uptodown.com,577,6,16,15,0,0,0,0
317,0,tamin.ir,578,2,2,3,3,2,2,2
179,2,google.com.au,579,2,2,2,2,2,2,2
117,15,cj.com,582,9,8,9,9,8,19,24
227,4,it168.com,584,3,3,3,3,2,4,2
226,20,jawapos.com,585,2,18,21,16,34,23,16
8,13,chouftv.ma,587,11,28,21,25,18,11,13
299,39,schwab.com,588,7,7,10,9,14,39,53
346,26,vidio.com,589,7,10,14,16,16,23,25
123,3,cloudflare.com,591,5,5,9,19,14,26,5
92,7,atlassian.com,592,10,7,6,9,12,11,9
237,9,jotform.com,595,11,11,8,5,8,11,12
238,2,leboncoin.fr,596,5,5,12,2,5,28,29
50,11,tejaratnews.com,597,2,4,6,5,8,9,10
205,20,ign.com,598,16,26,29,42,34,29,15
273,7,oeeee.com,599,5,8,7,10,4,4,4
233,21,kapanlagi.com,602,16,8,13,20,24,33,33
41,9,poki.com,603,3,2,11,10,9,5,8
349,9,visitbeijing.com.cn,604,8,12,0,14,15,8,15
77,3,agoda.com,605,7,15,5,18,2,2,2
153,15,flashscore.com,606,5,7,8,14,11,11,13
145,34,elwatannews.com,607,23,46,31,31,36,62,0
330,38,ticketmaster.com,609,32,16,24,37,46,39,43
54,17,techcrunch.com,610,8,24,29,40,39,15,13
116,9,chron.com,611,33,24,13,18,8,33,20
31,10,lenta.ru,613,10,0,0,13,12,15,11
261,22,nba.com,617,95,81,36,25,30,19,0
283,33,pcmag.com,619,51,25,39,30,31,22,20
281,35,pchome.com.tw,620,3,4,2,37,0,37,36
16,32,eksisozluk.com,621,9,20,16,20,42,32,29
2,14,9gag.com,622,15,16,23,25,25,24,36
301,11,sarkariresult.com,623,8,18,10,13,13,13,20
229,4,jianshu.com,625,2,5,6,7,8,6,9
67,27,vnexpress.net,626,10,16,52,55,17,17,16
137,5,doordash.com,627,15,13,13,8,13,2,6
122,19,clickfunnels.com,631,2,5,7,5,6,2,17
72,4,52pk.com,635,6,5,5,8,7,8,8
379,8,canada.ca,636,9,13,14,13,12,8,8
107,22,bolasport.com,638,20,21,18,13,10,12,12
147,10,ecer.com,640,14,5,2,5,6,7,12
90,12,asriran.com,641,6,3,6,11,15,10,10
256,13,merriam-webster.com,642,23,20,8,9,11,15,13
34,29,patch.com,645,9,16,19,21,18,24,21
5,9,as.com,648,10,5,8,14,22,15,22
21,41,freshdesk.com,649,13,9,8,14,15,17,31
20,21,elementor.com,653,6,0,0,9,12,21,17
139,6,docin.com,654,8,6,7,5,3,5,7
318,20,t-mobile.com,656,22,18,7,7,16,25,29
136,22,dostor.org,657,36,20,8,13,16,14,26
105,9,biblegateway.com,662,5,6,6,5,10,25,23
59,18,trello.com,666,8,8,6,6,16,7,19
180,2,google.co.ve,668,2,2,2,2,2,2,2
315,7,southcn.com,669,6,29,25,18,20,10,7
38,14,parsfootball.com,673,9,7,29,29,22,8,13
83,5,allrecipes.com,677,13,23,34,37,22,28,29
195,2,google.dz,678,2,2,2,2,2,2,2
328,15,theepochtimes.com,679,21,19,14,25,25,20,19
24,11,fontawesome.com,682,5,6,6,2,5,8,7
0,2,eee114.com,683,7,7,7,7,7,7,7
268,18,olx.in,684,13,31,27,23,23,25,19
358,14,wish.com,685,5,6,4,15,10,17,21
216,23,iherb.com,689,19,18,27,22,18,13,20
25,28,fril.jp,690,11,12,13,15,15,22,8
240,4,lenovo.com,694,2,6,2,2,2,2,4
375,7,animeflv.net,699,16,19,16,11,5,10,9
128,64,dcinside.com,703,105,0,0,0,63,64,64
30,9,leetcode.com,704,5,5,6,2,6,6,6
53,25,taleo.net,705,3,3,9,9,11,12,11
73,2,51sole.com,706,17,20,11,2,2,2,2
209,14,info.com,708,2,2,6,6,2,4,9
201,29,hindustantimes.com,709,14,13,8,15,13,18,24
99,4,bedbathandbeyond.com,710,29,29,17,5,18,6,33
103,7,bhaskar.com,711,13,38,29,26,41,16,13
325,2,thingiverse.com,712,7,4,4,4,6,6,11
308,6,shopstyle.com,713,64,81,9,5,3,4,14
224,23,ionos.com,716,11,10,0,0,0,29,30
340,2,turkiye.gov.tr,718,3,6,5,5,2,2,2
234,11,kickstarter.com,720,17,12,10,11,9,10,8
265,35,nikkei.com,723,6,7,12,12,18,32,27
274,2,otto.de,724,4,2,2,2,2,4,8
275,12,overstock.com,725,22,31,19,6,7,7,28
321,33,surveymonkey.com,729,20,13,16,15,18,29,37
